Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),Depth,CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca,Fe,Ni,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Ag,Ba,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1537,A,2,H,2,A,420,4.42,4.386,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,100022,756,8565,5034,35,1542,660,1384,159,1399,116,76,278226,5800,XRF1,1,10/2/2019,13:29:06,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,440,4.44,4.406,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99354,757,8623,4809,101,1600,490,1335,170,1272,92,40,276266,6091,XRF1,1,10/2/2019,13:29:30,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,460,4.46,4.426,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99534,835,9208,4882,60,1504,656,1417,127,1515,88,47,274802,6388,XRF1,1,10/2/2019,13:29:54,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,480,4.48,4.446,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99440,706,8816,4843,76,1569,643,1395,132,1292,99,76,273696,6554,XRF1,1,10/2/2019,13:30:17,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,500,4.5,4.466,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99234,937,9187,4787,73,1503,644,1386,68,1336,67,60,274559,6484,XRF1,1,10/2/2019,13:30:43,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,520,4.52,4.486,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99281,794,8066,4984,73,1626,478,1291,155,1213,69,21,274630,6295,XRF1,1,10/2/2019,13:31:06,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,540,4.54,4.506,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99269,827,9294,4950,94,1570,685,1349,220,1439,94,57,275464,6623,XRF1,1,10/2/2019,13:31:30,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,560,4.56,4.526,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99275,852,9607,4887,71,1508,595,1344,119,1429,130,78,274377,5814,XRF1,1,10/2/2019,13:31:54,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,580,4.58,4.546,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98955,781,8898,4807,74,1513,621,1387,161,1302,108,91,275265,5700,XRF1,1,10/2/2019,13:32:17,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,600,4.6,4.566,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98884,776,8971,4998,93,1547,568,1293,179,1315,113,57,278959,5495,XRF1,1,10/2/2019,13:32:41,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,620,4.62,4.586,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97682,803,9733,4711,36,1403,615,1332,141,1519,58,94,278251,6274,XRF1,1,10/2/2019,13:33:05,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,640,4.64,4.606,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97154,798,9004,4807,40,1420,648,1288,127,1271,111,71,275884,6640,XRF1,1,10/2/2019,13:33:28,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,660,4.66,4.626,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,96741,680,7951,4808,57,1512,556,1276,104,1189,101,26,276026,5538,XRF1,1,10/2/2019,13:33:52,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,680,4.68,4.646,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,95799,586,4984,4738,75,1816,440,1040,77,822,55,42,274970,4319,XRF1,1,10/2/2019,13:34:16,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,700,4.7,4.666,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97424,832,8269,4787,59,1480,645,1415,148,1388,93,37,276346,5986,XRF1,1,10/2/2019,13:34:41,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,720,4.72,4.686,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98454,822,8897,4916,73,1509,653,1384,140,1384,128,82,276337,6546,XRF1,1,10/2/2019,13:35:05,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,740,4.74,4.706,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98693,725,8593,4901,57,1580,557,1391,204,1471,105,102,278430,6029,XRF1,1,10/2/2019,13:35:29,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,760,4.76,4.726,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99082,965,8752,4856,49,1424,710,1448,178,1475,61,61,278662,6604,XRF1,1,10/2/2019,13:35:52,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,780,4.78,4.746,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98574,907,8332,4760,73,1540,633,1415,213,1355,179,121,277576,6338,XRF1,1,10/2/2019,13:36:16,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,800,4.8,4.766,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98710,722,8883,4888,73,1534,654,1426,163,1375,121,48,274903,6168,XRF1,1,10/2/2019,13:36:40,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,820,4.82,4.786,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98774,723,8814,4942,51,1558,552,1354,221,1495,122,113,275320,6094,XRF1,1,10/2/2019,13:37:03,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,840,4.84,4.806,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98338,762,9043,4828,74,1441,632,1504,224,1414,86,60,274460,6320,XRF1,1,10/2/2019,13:37:27,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,860,4.86,4.826,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98201,701,6715,4792,77,1673,432,1085,129,1103,56,99,275908,5291,XRF1,1,10/2/2019,13:37:51,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,880,4.88,4.846,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98207,857,5922,4832,62,1735,508,1206,121,1145,115,156,276011,4598,XRF1,1,10/2/2019,13:38:15,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,900,4.9,4.866,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98595,924,6625,4921,50,1698,487,1237,131,1053,77,58,276772,5152,XRF1,1,10/2/2019,13:38:38,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,920,4.92,4.886,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98839,770,5445,4959,80,1945,427,1043,71,812,85,40,277709,3689,XRF1,1,10/2/2019,13:39:02,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
