"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"382","U1535","A","1","H","1","","2.5","0.025","0.024","80.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","5.0","0.050","0.048","98.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","7.5","0.075","0.073","110.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","10.0","0.100","0.097","117.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","12.5","0.125","0.121","122.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","15.0","0.150","0.145","126.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","17.5","0.175","0.169","124.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","20.0","0.200","0.194","121.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","22.5","0.225","0.218","122.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","25.0","0.250","0.242","123.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","27.5","0.275","0.266","120.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","30.0","0.300","0.290","118.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","32.5","0.325","0.315","117.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","35.0","0.350","0.339","115.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","37.5","0.375","0.363","114.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","40.0","0.400","0.387","113.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","42.5","0.425","0.411","114.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","45.0","0.450","0.435","114.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","47.5","0.475","0.460","112.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","50.0","0.500","0.484","109.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","52.5","0.525","0.508","105.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","55.0","0.550","0.532","100.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","57.5","0.575","0.556","98.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","60.0","0.600","0.581","98.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","62.5","0.625","0.605","96.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","65.0","0.650","0.629","94.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","67.5","0.675","0.653","90.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","70.0","0.700","0.677","88.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","72.5","0.725","0.702","88.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","75.0","0.750","0.726","100.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","77.5","0.775","0.750","102.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","80.0","0.800","0.774","91.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","82.5","0.825","0.798","86.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","85.0","0.850","0.823","87.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","87.5","0.875","0.847","87.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","90.0","0.900","0.871","84.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","92.5","0.925","0.895","82.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","95.0","0.950","0.919","83.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","97.5","0.975","0.944","85.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","100.0","1.000","0.968","87.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","102.5","1.025","0.992","87.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","105.0","1.050","1.016","87.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","107.5","1.075","1.040","87.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","110.0","1.100","1.065","87.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","112.5","1.125","1.089","88.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","115.0","1.150","1.113","89.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","117.5","1.175","1.137","88.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","120.0","1.200","1.161","87.00","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","122.5","1.225","1.186","85.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","125.0","1.250","1.210","85.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","127.5","1.275","1.234","85.67","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","130.0","1.300","1.258","85.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
"382","U1535","A","1","H","1","","132.5","1.325","1.282","84.33","2019-04-02 20:39:13","MS2C-695","WRMSL","SECT9839031","113527901","","",""
