"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"382","U1536","A","1","F","1","","2.5","0.025","0.025","7.33","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","5.0","0.050","0.050","8.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","7.5","0.075","0.074","8.33","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","10.0","0.100","0.099","7.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","12.5","0.125","0.124","7.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","15.0","0.150","0.149","6.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","17.5","0.175","0.174","6.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","20.0","0.200","0.199","6.67","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","22.5","0.225","0.224","7.00","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","25.0","0.250","0.248","7.67","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","27.5","0.275","0.273","6.33","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
"382","U1536","A","1","F","1","","30.0","0.300","0.298","5.67","2019-04-09 15:49:35","MS2C-695","WRMSL","SECT9853901","113639101","","",""
