Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Depth CSF-A (m),Depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
382,U1536,A,30,F,3,W,61,62,242.81,242.68,0.032,0.267,0.1387,0,0.0267,0,0.11, 
382,U1536,A,31,F,1,W,74,75,244.74,244.719,0.045,0.375,0.2276,0,0.0311,0,0.18, 
382,U1536,A,32,F,1,W,82.5,83.5,249.625,249.594,0.041,0.342,0.2504,0,0.0448,0,0.21, 
382,U1536,A,33,F,3,W,55.5,56.5,257.165,257.057,0.041,0.342,0.3524,0,0.0565,0,0.31, 
382,U1536,A,34,F,5,W,36,37,262.85,262.68, , ,0.205,0,0.0369,0, , 
382,U1536,A,35,F,1,W,81,82,264.01,263.973,3.313,27.607,3.7264,0,0.0225,0,0.41, 
382,U1536,A,36,F,2,W,83,84,270.33,270.265,0.031,0.258,0.2364,0,0.0469,0,0.21, 
382,U1536,A,38,F,1,W,78,79,278.38,278.38,0.047,0.392,0.1807,0,0.0381,0,0.13, 
382,U1536,A,38,F,3,W,68,69,281.28,281.28,0.039,0.325,0.2339,0,0.04,0,0.19, 
382,U1536,A,39,F,1,W,110,111,283.5,283.456,0.04,0.333,0.2239,0,0.0411,0,0.18, 
382,U1536,A,40,F,3,W,54,55,290.75,290.685,0.036,0.3,0.1387,0,0.0401,0,0.1, 
382,U1536,A,41,F,2,W,75,76,294.24,294.159,0.038,0.317,0.1634,0,0.0374,0,0.13, 
382,U1536,A,42,F,3,W,87,88,300.69,300.572,0.039,0.325,0.2354,0,0.0357,0,0.2, 
382,U1536,A,43,F,2,W,72,73,303.82,303.715,0.065,0.542,0.1899,0,0.0474,0,0.12, 
382,U1536,A,43,F,2,W,98,99,304.08,303.962,0.027,0.225,0.215,0,0.0458,0,0.19, 
382,U1536,A,44,F,1,W,64,65,307.04,307.019,0.045,0.375,0.2241,0,0.0479,0,0.18, 
382,U1536,A,44,F,3,W,55,56,309.95,309.835,0.053,0.442,0.3175,0,0.0483,0,0.26, 
382,U1536,A,45,F,2,W,106,107,313.76,313.658,0.05,0.417,0.3267,0,0.0368,0,0.28, 
382,U1536,A,46,F,1,W,68,69,316.68,316.658, , ,0.3013,0,0.0509,0, , 
382,U1536,A,48,F,1,W,108,109,326.68,326.631,0.06,0.5,0.2081,0,0.0398,0,0.15, 
382,U1536,A,48,F,3,W,60,61,329.2,329.036,0.049,0.408,0.1458,0,0.0348,0,0.1, 
382,U1536,A,49,F,2,W,79,80,332.68,332.571,0.057,0.475,0.1807,0,0.0432,0,0.12, 
382,U1536,A,50,F,2,W,78,79,337.48,337.372,0.064,0.533,0.1748,0,0.0401,0,0.11, 
382,U1536,A,51,F,3,W,62,63,343.62,343.517,0.051,0.425,0.2434,0,0.0375,0,0.19, 
382,U1536,A,52,F,2,W,90,91,347.2,347.118,0.051,0.425,0.2411,0,0.0344,0,0.19, 
382,U1536,A,53,F,3,W,55,56,353.15,353.042,0.03,0.25,0.4289,0,0.0439,0,0.4, 
